,Message,Favourite_Count,Retweet_Count,Created_At,user_name,followers
112,"Die Plastiktüte hat die bessere Klimabilanz v @Tagesspiegel https://t.co/9ITU01YmJJ

#ökobilanz #plastik… https://t.co/V6RRYX0n7K",0,1,2019-08-26 06:43:00,Newsroom.Kunststoffverpackungen,394
113,@gehtohne @EndPlasticWaste Schade das Sie an einen vernünftigen &amp; respektvollen Austausch anscheinend nicht interes… https://t.co/GxjlNsKNVO,0,0,2019-08-26 06:25:24,Randy Rheindorf,585
114,Shop nur mit 3D-gedrucktem Interiordesign aus #Plastik #Abfall - so wird #Ethik luxuriös und zum Designtrend |… https://t.co/dfL2YE9CYu,1,0,2019-08-26 06:16:01,Saskia Dörr,976
115,#Umweltschützer kritisieren Amazons Kehrtwende: #Plastik statt Pappe - #Amazon setzt auf leichte Päckchen - manager… https://t.co/mECXHeU052,0,0,2019-08-26 06:12:20,ibotrampe,1491
116,RT @BR_Franken: 🏠🏘️Tolles Projekt: Ein #Bamberg|er will zusammen mit seinen Kollegen in #Sumatra ein #Dorf aus #Plastik bauen - aus Plastik…,0,9,2019-08-26 05:20:57,Katja Pennyworth,93
117,"RT @Clauduella_ella: Hi Twitter, ich war vorhin im #dm und war total angewidert. Alles #Plastik, Plastik, Plastik, und nur zum #Wegschmeiße…",0,2,2019-08-26 05:06:33,Tomas Schweigert,151
118,"der tägliche Flächenverbrauch 66 ha ca. 66 #Fußballfelder, #Plastik im #Hochbau heutige #Wärmedämmung kontra #Klima… https://t.co/FpmMtBdpPd",0,0,2019-08-26 02:50:57,Empedokles,4
119,"#Nachhaltigkeit
Vermeidung von #Plastik - Ein Getraenkemarkt in #Stuttgart entschied sich, zum 01.08.19 neben der V… https://t.co/pejUjRlq8w",0,0,2019-08-26 01:41:12,SG Respekt 🦒🥕🚓🚒🚑,1240
120,"RT @muhamadanas999: Ecobricks ke 51410 di dunia yang dibuat dan terdaftar di Global Ecobrick Alliance, mengurangi sedikitnya 242gr polusi l…",0,2,2019-08-26 01:13:54,Yuti Ray,907
121,"Jasa Cetak #Clipbag, #Goodybag, #Totebag, #Plastik Promosi dll https://t.co/J5TAwejhLw #jakarta RETWEET ya ya :) IklanTerUpdate",0,0,2019-08-26 01:00:38,TRACELINE APPAREL,7634
122,#Kolumbien @PlaceresCarulla ist der mit Abstand teuerste #Supermarkt. Gourmet-Anspruch mit vielen ausländischen Pro… https://t.co/Kt0aexWShs,1,0,2019-08-25 19:34:21,Katharina Wojczenko,400
123,#plastik #dkpol hvorfor var det ikke bare blev en 2030 plan om alle former for plastik poser udfases og forbydes .,0,0,2019-08-25 18:32:22,Peter Smedegaard,2
124,"Geleceğin Kimya Endüstrisine CHEMLIFE İle Hazırlanın...
Abonelik ve Reklam talepleriniz için 
erdemmutlu@prosigma.n… https://t.co/msnKmlz2zz",1,0,2019-08-25 16:33:00,kimyahaberleri,7391
125,"Wenn man von den RB Kunden die Melodie von ""Asoziale Schalker"" hört krieg ich jedes mal das Kotzen! #S04 #RBLSGE #Plastik",1,0,2019-08-25 15:09:32,Mumi1904,6
